Title;Video ID;Published At;Keyword;Likes;Comments;Views
My New House Gaming Setup is SICK!;4mgePWWCAmA;23/08/2022;gaming;63825.0;3338.0;1564007.0
ROBLOX ATHLETES TYCOON;wXjxEphvceM;24/08/2022;gaming;4163.0;618.0;133933.0
Naik Wahana Roller Coaster! - Runner Coaster;iRxsHyRJnnQ;24/08/2022;gaming;2925.0;121.0;99244.0
I OPENED MY OWN ARCADE SHOP;WBK2_lD7KGA;24/08/2022;gaming;298406.0;15609.0;3773387.0
[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire;RRaznaiwf9A;24/08/2022;gaming;549.0;29.0;16307.0
What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING;YeqhIN6Dg_U;22/08/2022;gaming;2170.0;282.0;126228.0
Tonnenweise GANZ NEUE Games  Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022;4ndP7aEL48w;23/08/2022;gaming;1365.0;256.0;46436.0
Free Fire | Bất Ngờ Nhận FREE 900 Kim Cương Mua Đồ Cực Ngon - Garena Hứa Sẽ Sửa Vòng Quay Ma Thuật;aVYgohhJTwo;24/08/2022;gaming;3516.0;306.0;121644.0
10 Infuriating Ways Video Games Stopped You From Getting 100%;t3L2dLPzvrM;24/08/2022;gaming;2481.0;429.0;67444.0
Farming Simulator 22 #13 - Khi Xe Bán Tải Chở Quá Tải !!;UZFeOxoRe8g;24/08/2022;gaming;2501.0;193.0;84565.0
Secret Hidden Oven Entrance to Epic GAMING FORT!;PyUwWSrFy5E;20/08/2022;gaming;82449.0;2673.0;2007038.0
🔥Artistic Music Mix 2022: Top 50 Songs ♫ Best NCS Gaming Music ♫ Best Of EDM Remixes 2022;GiHBWPRybpw;24/08/2022;gaming;1243.0;21.0;5967.0
Free Fire | We Got Level 1 Ghost Id 😨With 9999 Badges😍 Wasting 10 000 Diamonds 💎-Garena Free Fire;wRWhpXAMrLQ;24/08/2022;gaming;48710.0;3417.0;552256.0
gaming in the future;zJJ7JiG2Lvw;24/08/2022;gaming;29966.0;471.0;205943.0
The *DESTINY* Challenge in Fortnite!;f-vwWjR_3JY;24/08/2022;gaming;15842.0;1547.0;530763.0
7 Reasons The Gaming Industry Is Broken;gYvCj3EufhA;24/08/2022;gaming;3374.0;741.0;82874.0
GTA 5 CAN CHOP COMPLETE THIS INSANE IMPOSSIBLE STUNT RACE;0aSjii_bpUc;24/08/2022;gaming;8260.0;195.0;191777.0
🎧 FOLLOW ME ON LOCO | ACHANAK BAYANAK GAMING;ymEXN_zeR4;24/08/2022;gaming;1525.0;36.0;14877.0
Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050;i2tzQ0RUm6Q;24/08/2022;gaming;468.0;164.0;10351.0
NO STREAM FOR 3 DAYS | KYA AAJ 35 KILLS HONGE | GODL LoLzZz | BGMI LIVE;HN-EAqkxYLo;23/08/2022;gaming;18208.0;44.0;228095.0
